# x_m,y_m,w_tr_right_m,w_tr_left_m
-86.79842,169.2312,3.5,3.5
-87.73193,167.7092,3.5,3.5
-88.64354,166.2092,3.5,3.5
-89.5573,164.6884,3.5,3.5
-90.4578,163.1682,3.5,3.5
-91.34169,161.6501,3.5,3.5
-92.22275,160.1047,3.5,3.5
-93.0777,158.5668,3.5,3.5
-93.91579,157.0131,3.5,3.5
-94.73429,155.4404,3.5,3.5
-95.52162,153.8629,3.5,3.5
-96.2775,152.2729,3.5,3.5
-97.00416,150.6561,3.5,3.5
-97.69041,149.0283,3.5,3.5
-98.33499,147.3856,3.5,3.5
-98.93681,145.7248,3.5,3.5
-99.49366,144.0483,3.5,3.5
-100.0045,142.3594,3.5,3.5
-100.471,140.6559,3.5,3.5
-100.8955,138.9351,3.5,3.5
-101.2765,137.2155,3.5,3.5
-101.6197,135.4868,3.5,3.5
-101.9299,133.7413,3.5,3.5
-102.2073,131.9974,3.5,3.5
-102.4556,130.256,3.5,3.5
-102.6816,128.4908,3.5,3.5
-102.8828,126.7467,3.5,3.5
-103.066,124.9884,3.5,3.5
-103.2329,123.2238,3.5,3.5
-103.3838,121.4735,3.5,3.5
-103.5241,119.6965,3.5,3.5
-103.651,117.9516,3.5,3.5
-103.7709,116.1708,3.5,3.5
-103.8803,114.4252,3.5,3.5
-103.9846,112.6487,3.5,3.5
-104.0816,110.8936,3.5,3.5
-104.174,109.1289,3.5,3.5
-104.2626,107.3529,3.5,3.5
-104.3461,105.6061,3.5,3.5
-104.4287,103.8105,3.5,3.5
-104.5061,102.0728,3.5,3.5
-104.5826,100.304,3.5,3.5
-104.6581,98.51934,3.5,3.5
-104.7302,96.78076,3.5,3.5
-104.8028,95.00023,3.5,3.5
-104.8742,93.22906,3.5,3.5
-104.9439,91.48498,3.5,3.5
-105.0147,89.70193,3.5,3.5
-105.0886,87.89381,3.5,3.5
-105.183,86.11318,3.5,3.5
-105.3016,84.35999,3.5,3.5
-105.4467,82.60374,3.5,3.5
-105.621,80.82864,3.5,3.5
-105.8204,79.08434,3.5,3.5
-106.0495,77.33204,3.5,3.5
-106.3102,75.57109,3.5,3.5
-106.5965,73.8449,3.5,3.5
-106.9192,72.09498,3.5,3.5
-107.2731,70.35912,3.5,3.5
-107.6544,68.65689,3.5,3.5
-108.0815,66.91575,3.5,3.5
